area,bedrooms,bathrooms,location,price
902,3,1,Sawyer,125500
1063,3,1,NAmes,128000
1636,3,2,Somerst,255000
2057,3,1,Crawfor,250000
902,2,1,Mitchel,131000
1484,3,2,Gilbert,174000
2274,5,2,NAmes,154300
1268,3,1,CollgCr,143500
1015,3,1,BrkSide,88000
2002,4,2,Crawfor,145000
1224,2,2,Somerst,173733
1092,3,1,MeadowV,75000
480,1,0,IDOTRR,35311
1229,3,1,Edwards,135000
2127,4,2,SawyerW,238000
1414,3,1,NAmes,176500
1721,3,2,SawyerW,201000
2200,4,2,Edwards,145900
1316,3,2,Gilbert,169990
1617,2,2,SawyerW,193000
1686,3,2,NWAmes,207500
1126,3,2,NWAmes,175000
2374,4,2,NridgHt,285000
1978,4,2,NWAmes,176000
1788,3,2,CollgCr,236500
2236,4,2,Gilbert,222000
1466,3,2,Timber,201000
925,2,1,NAmes,117500
1905,3,2,Somerst,320000
1500,3,2,CollgCr,190000
2069,4,2,NAmes,242000
747,1,1,BrkSide,79900
1200,2,2,SawyerW,184900
1971,3,2,Somerst,253000
1962,3,2,CollgCr,239799
2403,4,2,ClearCr,244400
1728,4,2,Mitchel,150900
2060,3,2,Gilbert,214000
1440,4,2,Edwards,150000
1632,4,2,Mitchel,143000
1344,3,1,Timber,137500
1869,2,1,OldTown,124900
1144,3,1,NAmes,143000
1629,3,2,Timber,270000
1776,3,2,CollgCr,192500
1381,3,1,NWAmes,197500
864,3,1,NAmes,129000
965,3,1,SawyerW,119900
768,2,1,CollgCr,133900
1968,4,2,Mitchel,172000
980,4,2,Edwards,127500
1958,4,2,Crawfor,145000
1229,2,1,Blueste,124000
1057,3,1,Sawyer,132000
1337,3,2,CollgCr,185000
1416,3,2,Somerst,155000
858,2,1,BrkSide,116500
2872,4,2,NWAmes,272000
1548,3,2,NPkVill,155000
1800,2,2,CollgCr,239000
1894,4,2,Timber,214900
1484,3,2,Gilbert,178900
1308,2,1,Crawfor,160000
1098,3,1,NAmes,135000
968,2,1,OldTown,37900
1095,2,1,NAmes,140000
1192,4,1,NAmes,135000
1626,2,2,NridgHt,173000
918,2,2,SawyerW,99500
1428,3,2,Somerst,182000
2019,3,1,BrkSide,167500
1382,3,2,Somerst,165000
869,2,1,BrkSide,85500
1241,1,1,Somerst,199900
894,3,1,Edwards,110000
1121,3,1,Sawyer,139000
999,3,1,NAmes,178400
2612,4,2,NoRidge,336000
1266,2,2,Blmngtn,159895
2290,4,2,CollgCr,255900
1734,4,2,Mitchel,126000
1164,3,1,Edwards,125000
1635,2,1,OldTown,117000
1940,3,2,NridgHt,395192
2030,4,2,NWAmes,195000
1576,3,2,Somerst,197000
2392,3,2,NoRidge,348000
1742,4,1,OldTown,168000
1851,3,2,NAmes,187000
1500,3,2,CollgCr,173900
1718,3,2,NridgHt,337500
1230,3,1,BrkSide,121600
1050,3,1,NAmes,136500
1442,2,2,NWAmes,185000
1077,3,1,IDOTRR,91000
1208,2,2,CollgCr,206000
944,2,1,Edwards,82000
691,2,1,OldTown,86000
1574,3,2,Somerst,232000
1680,4,2,NWAmes,136905
1504,1,2,Blmngtn,181000
985,3,2,CollgCr,149900
1657,3,2,NAmes,163500
1092,3,1,MeadowV,88000
1710,3,2,Mitchel,240000
1522,4,2,SWISU,102000
1271,4,2,Sawyer,135000
1664,4,2,Edwards,100000
1502,3,1,Crawfor,165000
1022,2,1,OldTown,85000
1082,2,1,NAmes,119200
1665,3,2,NWAmes,227000
1504,3,2,CollgCr,203000
1360,1,1,StoneBr,187500
1472,3,2,Gilbert,160000
1506,2,2,Blmngtn,213490
1132,2,1,Edwards,176000
1220,2,2,CollgCr,194000
1248,2,1,OldTown,87000
1504,2,2,Blmngtn,191000
2898,2,2,Timber,287000
882,3,1,CollgCr,112500
1264,3,1,NAmes,167500
1646,3,2,Timber,293077
1376,3,1,NAmes,105000
1218,3,1,BrDale,118000
1928,5,2,SWISU,160000
3082,5,2,SWISU,197000
2520,5,2,NoRidge,310000
1654,3,2,CollgCr,230000
954,2,1,Crawfor,119750
845,3,1,Edwards,84000
1620,2,2,Timber,315500
2263,3,2,CollgCr,287000
1344,3,1,MeadowV,97000
630,1,1,MeadowV,80000
1803,3,2,Sawyer,155000
1632,4,1,NWAmes,173000
1306,1,2,NridgHt,196000
2329,4,2,SawyerW,262280
2524,4,2,NWAmes,278000
1733,4,2,Edwards,139600
2868,4,3,StoneBr,556581
990,3,1,CollgCr,145000
1771,3,1,Mitchel,115000
930,2,1,Edwards,84900
1302,3,2,Gilbert,176485
1316,3,2,CollgCr,200141
1977,4,1,NAmes,165000
1526,4,1,Edwards,144500
1989,3,2,CollgCr,255000
1523,3,2,NWAmes,180000
1364,2,2,NridgHt,185850
1850,3,2,NoRidge,248000
2184,3,2,NridgHt,335000
1991,3,1,Crawfor,220000
1338,2,2,StoneBr,213500
894,2,1,IDOTRR,81000
2337,5,2,OldTown,90000
1103,2,1,OldTown,110500
1154,3,1,NAmes,154000
2260,3,2,ClearCr,328000
1571,3,2,Gilbert,178000
1611,4,1,NAmes,167900
2521,5,2,MeadowV,151400
893,2,1,NAmes,135000
1048,3,1,NAmes,135000
1556,4,1,NWAmes,154000
1456,4,1,Edwards,91500
1426,3,1,Edwards,159500
1240,2,2,CollgCr,194000
1740,3,1,Crawfor,219500
1466,3,2,OldTown,170000
1096,3,1,NAmes,138800
848,1,1,CollgCr,155900
990,3,1,CollgCr,126000
1258,3,2,NWAmes,145000
1040,3,1,Sawyer,133000
1459,3,2,CollgCr,192000
1251,3,1,NAmes,160000
1498,3,2,Gilbert,187500
996,2,1,SawyerW,147000
1092,3,1,MeadowV,83500
1953,3,2,Somerst,252000
1709,3,2,Edwards,137500
1247,1,1,Somerst,197000
1040,2,2,NAmes,92900
1252,2,2,Somerst,160000
1694,4,2,SWISU,136500
1200,1,1,NAmes,146000
936,2,1,NAmes,129000
1314,3,2,CollgCr,176432
1355,3,1,IDOTRR,127000
1088,2,1,StoneBr,170000
1324,3,1,BrkSide,128000
1601,3,2,NWAmes,157000
438,1,1,SWISU,60000
950,3,1,NAmes,119500
1134,2,1,NAmes,135000
1194,3,1,NAmes,159500
1302,3,2,BrDale,106000
2622,3,2,NoRidge,325000
1442,3,2,SawyerW,179900
2021,3,2,Gilbert,274725
1690,3,2,Gilbert,181000
1836,3,2,NridgHt,280000
1658,3,2,Gilbert,188000
1964,4,2,NWAmes,205000
816,2,1,NAmes,129900
1008,2,1,NAmes,134500
833,2,1,OldTown,117000
1734,3,2,NridgHt,318000
1419,3,2,Gilbert,184100
894,3,1,Sawyer,130000
1601,3,1,Sawyer,140000
1040,3,1,NAmes,133700
1012,2,1,IDOTRR,118400
1552,3,2,CollgCr,212900
960,3,1,Edwards,112000
698,2,1,Edwards,118000
1482,3,2,Gilbert,163900
1005,2,1,NAmes,115000
1555,2,2,Blmngtn,174000
1530,3,2,Gilbert,259000
1959,4,2,Gilbert,215000
936,2,1,OldTown,140000
1981,4,2,SWISU,135000
974,3,1,Mitchel,93500
2210,5,2,OldTown,117500
2020,3,2,SawyerW,239500
1600,3,2,Gilbert,169000
986,2,1,BrkSide,102000
1252,3,1,NAmes,119000
1020,2,1,Sawyer,94000
1567,2,2,Mitchel,196000
1167,3,1,BrkSide,144000
952,2,1,NAmes,139000
1868,4,2,NWAmes,197500
2828,4,3,CollgCr,424870
1006,3,1,Sawyer,80000
924,2,1,Edwards,80000
1576,3,1,BrkSide,149000
1298,3,2,SawyerW,180000
1564,3,1,Crawfor,174500
1111,2,1,OldTown,116900
1482,3,1,OldTown,143000
932,2,1,NAmes,124000
1466,3,1,Edwards,149900
1811,2,1,Crawfor,230000
816,2,1,IDOTRR,120500
1820,4,1,NAmes,201800
1437,3,2,Veenker,218000
1265,3,2,NAmes,179900
1314,2,2,NridgHt,230000
1580,3,2,Somerst,235128
1876,4,2,NWAmes,185000
1456,3,2,NPkVill,146000
1640,3,1,Crawfor,224000
894,3,1,Sawyer,129000
1258,0,0,Sawyer,108959
1432,2,1,Veenker,194000
1502,3,2,NridgHt,233170
1694,3,2,CollgCr,245350
1671,3,2,Gilbert,173000
2108,4,2,Edwards,235000
3627,4,3,NoRidge,625000
1118,3,1,Mitchel,171000
1261,3,1,NAmes,163000
1250,2,2,Somerst,171900
3086,3,3,ClearCr,200500
2345,4,2,Crawfor,239000
2872,4,2,NoRidge,285000
923,3,1,Mitchel,119500
1224,3,1,OldTown,115000
1343,3,1,Crawfor,154900
1124,3,1,Edwards,93000
2514,4,2,Timber,250000
1652,2,2,Crawfor,392500
4476,4,3,NoRidge,745000
1130,2,1,OldTown,120000
1572,3,1,Timber,186700
1221,4,1,Edwards,104900
1699,3,2,OldTown,95000
1624,2,2,NoRidge,262000
1660,3,2,CollgCr,195000
1804,3,2,Gilbert,189000
1622,3,1,Mitchel,168000
1441,2,2,Somerst,174000
1472,3,1,OldTown,125000
1224,2,2,Mitchel,165000
1352,4,1,Sawyer,158000
1456,3,2,Gilbert,176000
1863,4,2,Gilbert,219210
1690,3,1,OldTown,144000
1212,3,2,CollgCr,178000
1382,3,1,Sawyer,148000
864,3,1,NAmes,116050
1779,3,2,CollgCr,197900
1348,3,1,BrkSide,117000
1630,3,2,CollgCr,213000
1074,3,1,NWAmes,153500
2196,3,2,SawyerW,271900
1056,2,1,SawyerW,107000
1700,3,2,CollgCr,200000
1283,3,1,NAmes,140000
1660,3,2,Somerst,290000
1845,3,2,SawyerW,189000
1752,4,2,Gilbert,164000
672,2,1,Edwards,113000
960,0,0,Sawyer,145000
999,3,1,NAmes,134500
894,3,1,Sawyer,125000
1902,4,2,Sawyer,112000
1314,3,2,Somerst,229456
912,2,1,BrkSide,80500
1218,3,1,BrDale,91500
912,2,1,NAmes,115000
1211,3,1,Sawyer,134000
1846,3,2,NAmes,143000
2136,4,2,NAmes,137900
1490,3,2,Gilbert,184000
1138,3,1,NAmes,145000
1933,4,2,Somerst,214000
912,2,1,NAmes,147000
1702,1,1,NridgHt,367294
1507,4,2,NAmes,127000
2620,4,2,Sawyer,190000
1190,3,1,NAmes,132500
1224,2,2,NAmes,101800
1188,3,1,NAmes,142000
1964,4,1,SWISU,130000
1784,4,1,Crawfor,138887
1626,2,2,NridgHt,175500
1948,4,2,CollgCr,195000
1141,3,1,SawyerW,142500
1484,2,2,Timber,265900
1768,3,2,CollgCr,224900
1689,3,2,Somerst,248328
1173,3,2,NWAmes,170000
2076,2,2,NridgHt,465000
1517,3,1,Crawfor,230000
1868,3,3,NWAmes,178000
1553,3,2,Somerst,186500
1034,3,1,Mitchel,169900
2058,3,1,OldTown,129500
988,3,1,NAmes,119000
2110,3,2,NAmes,244000
1405,2,2,NridgHt,171750
874,3,1,Mitchel,130000
2167,3,2,Veenker,294000
1656,3,2,Edwards,165400
1367,3,1,BrkSide,127500
1987,2,2,NoRidge,301500
864,2,1,Edwards,99900
1166,2,2,Gilbert,190000
1054,3,1,NAmes,151000
1675,3,2,Gilbert,181000
1050,2,1,NAmes,128900
1788,5,1,ClearCr,161500
1824,3,1,BrkSide,180500
1337,2,2,NAmes,181000
1452,3,2,Somerst,183900
1889,4,1,OldTown,122000
2018,3,2,Timber,378500
3447,4,3,Crawfor,381000
1524,3,1,NAmes,144000
1524,0,0,ClearCr,260000
1489,3,2,NWAmes,185750
935,3,1,Sawyer,137000
1357,2,1,Edwards,177000
1250,3,2,Crawfor,139000
1920,4,2,NAmes,137000
1395,3,1,NWAmes,162000
1724,3,1,NWAmes,197900
2031,3,2,CollgCr,237000
1128,2,1,IDOTRR,68400
1573,3,2,CollgCr,227000
1339,2,2,Timber,180000
1040,3,2,CollgCr,150500
1824,4,2,Mitchel,139000
2447,4,2,SWISU,169000
1412,4,1,BrkSide,132500
1328,3,1,NWAmes,143000
1582,4,2,ClearCr,190000
1659,2,2,StoneBr,278000
1970,3,2,NridgHt,281000
1152,3,1,NAmes,180500
1302,3,2,BrDale,119500
2372,4,2,OldTown,107500
1664,4,2,NWAmes,162900
864,2,1,Edwards,115000
1052,3,1,NAmes,138500
1128,3,2,NAmes,155000
1072,2,2,Edwards,140000
5642,3,2,Edwards,160000
1246,3,1,NAmes,154000
1983,3,2,Gilbert,225000
1494,3,1,Crawfor,177500
2526,4,2,NoRidge,290000
1616,3,2,Somerst,232000
1708,3,2,Edwards,130000
1652,2,2,NridgHt,325000
1368,2,2,NridgHt,202500
990,3,1,CollgCr,138000
1122,2,1,OldTown,147000
1294,3,2,SawyerW,179200
1902,3,2,Crawfor,335000
1274,3,2,CollgCr,203000
2810,4,2,NoRidge,302000
2599,4,2,NoRidge,333168
948,3,1,Edwards,119000
2112,4,2,NAmes,206900
1630,3,2,CollgCr,295493
1352,2,2,Somerst,208900
1787,3,2,CollgCr,275000
948,3,1,Edwards,111000
1478,3,1,NAmes,156500
720,2,1,BrkSide,72500
1923,3,2,NoRidge,190000
708,2,1,BrkSide,82500
1795,2,2,Somerst,147000
796,2,1,IDOTRR,55000
774,3,1,Edwards,79000
816,3,1,Mitchel,130500
2792,5,2,OldTown,256000
1632,3,2,Gilbert,176500
1588,3,2,Somerst,227000
954,3,1,CollgCr,132500
816,2,1,Edwards,100000
1360,2,1,IDOTRR,125500
1365,3,1,BrDale,125000
1334,2,2,NWAmes,167900
1656,4,2,NWAmes,135000
693,2,1,OldTown,52500
1861,3,2,CollgCr,200000
864,3,1,CollgCr,128500
872,3,1,NAmes,123000
1114,3,1,SawyerW,155000
2169,3,2,CollgCr,228500
1913,3,1,Crawfor,177000
1456,3,2,CollgCr,155835
960,2,1,OldTown,108500
2156,3,2,NWAmes,262500
1776,3,2,Timber,283463
1494,3,2,SawyerW,215000
2358,4,2,OldTown,122000
2634,6,2,NAmes,200000
1716,4,1,NAmes,171000
1176,2,1,BrkSide,134900
3238,4,2,NoRidge,410000
1865,3,2,CollgCr,235000
1920,4,3,NWAmes,170000
892,3,1,NAmes,110000
1078,3,1,NAmes,149900
1573,3,2,Somerst,177500
1980,3,2,NridgHt,315000
2601,4,3,SWISU,189000
1530,3,2,StoneBr,260000
1738,4,2,NAmes,104900
1412,3,2,Gilbert,156932
1200,2,2,Somerst,144152
1674,3,2,Somerst,216000
1790,3,2,CollgCr,193000
1475,4,2,MeadowV,127000
848,1,1,CollgCr,144000
1668,3,2,CollgCr,232000
1374,2,1,OldTown,105000
1661,3,1,NAmes,165500
2097,3,2,CollgCr,274300
2633,2,2,NoRidge,466500
1958,3,2,Somerst,250000
1571,3,2,Timber,239000
790,2,1,SWISU,91000
1604,3,2,Edwards,117000
987,2,1,BrDale,83000
1394,3,2,Timber,167500
864,2,1,Edwards,58500
2117,4,2,NAmes,237500
1762,4,1,OldTown,157000
1416,3,2,Sawyer,112000
1258,2,1,Edwards,105000
1154,3,1,IDOTRR,125500
2784,5,3,NWAmes,250000
2526,5,2,OldTown,136000
1746,3,2,Gilbert,377500
1218,3,1,BrkSide,131000
1525,3,2,CollgCr,235000
1584,4,2,NAmes,124000
900,3,1,NAmes,123000
1912,3,2,OldTown,163000
1500,2,2,Blmngtn,246578
2482,4,2,Timber,281213
1687,3,1,Timber,160000
1513,4,1,BrkSide,137500
1904,3,1,NAmes,138000
1608,3,2,SWISU,137450
1158,3,1,BrkSide,120000
1593,3,2,Gilbert,193000
1294,2,2,CollgCr,193879
1464,3,2,Somerst,282922
1214,3,1,OldTown,105000
1646,2,2,Crawfor,275000
768,2,1,CollgCr,133000
833,3,1,Mitchel,112000
1363,3,1,OldTown,125500
2093,3,2,NWAmes,215000
1840,3,2,CollgCr,230000
1668,3,1,NAmes,140000
1040,2,2,NAmes,90000
1844,2,2,SawyerW,257000
1848,4,1,BrkSide,207000
1569,1,2,Blmngtn,175900
2290,4,2,OldTown,122500
2450,3,2,NoRidge,340000
1144,3,1,NAmes,124000
1844,3,2,Crawfor,223000
1416,3,2,NWAmes,179900
1069,2,2,NPkVill,127500
848,1,1,CollgCr,136500
2201,4,2,Edwards,274970
1344,2,1,NAmes,144000
1252,3,1,NAmes,142000
2127,3,2,NoRidge,271000
1558,3,1,NAmes,140000
804,2,1,OldTown,119000
1440,3,2,NWAmes,182900
1838,4,2,Gilbert,192140
958,2,2,NPkVill,143750
968,4,2,OldTown,64500
1792,3,2,Gilbert,186500
1126,3,2,Mitchel,160000
1537,3,1,NAmes,174000
864,3,1,NAmes,120500
1932,2,2,NridgHt,394617
1236,2,1,OldTown,149700
1725,3,2,NWAmes,197000
2555,3,2,Crawfor,191000
848,1,1,CollgCr,149300
2007,3,2,Somerst,310000
952,2,1,BrkSide,121000
1422,3,2,CollgCr,179600
913,3,1,Sawyer,129000
1188,3,1,Mitchel,157900
2090,3,2,CollgCr,240000
1346,2,1,Edwards,112000
630,1,1,MeadowV,92000
1792,4,2,NAmes,136000
1578,3,2,Somerst,287090
1072,2,1,Edwards,145000
1140,3,1,Mitchel,84500
1221,2,2,Somerst,185000
1647,3,2,Gilbert,175000
2073,3,2,NWAmes,210000
2340,4,2,Crawfor,266500
1078,2,1,NAmes,142125
1256,3,1,Edwards,147500
